TDC_KVHX;CanOrderFiber;CanOrderCoax;IsRgu
1010020030B02TV;False;True;True
1010020030B03TV;False;True;True
1010020030BSTTH;False;True;True
1010020030BSTTH;False;True;True
1010020030BSTTH;False;True;True
1010020032;False;False;
1010020034 01TH;False;False;True
1010006004 01TV;True;True;True
1010006004 01TV;True;True;True
1010006004 02TH;True;True;True
1010008003;False;False;
1010008005;False;False;
1010008011;False;False;
1010008013;False;False;True
1010008013;False;False;True
1010008018 ST;False;False;
1010008020;False;False;
1010008025;False;False;True
1010008025;False;False;True
1010008025;False;False;True
1010008025;False;False;True
1010008027;False;False;
1010008033 ST;False;False;True
1010008033 ST;False;False;True
1010008035;False;False;
1010008042;False;False;
1010008042 ST;False;False;
1010008047;False;False;
1010008048 01;False;False;
1010012002 02TV;False;True;True
1010012002 STTV;False;True;True
1010012004 STTV;False;True;True
1010012006 01TV;False;True;True
1010012006 01TV;False;True;True
1010012008 01TH;False;True;True
1010012008 02TH;False;True;True
1010012008 02TH;False;True;True
1010012008 STTH;False;True;True
1010012010 02TV;False;True;True
1010012010 STTV;False;True;
1010014006;False;False;
1010014008;False;False;
1010014010 STTH;False;True;True
1010014012 01;False;True;True
1010014012 01;False;True;True
1010014012 01;False;True;True
1010014016;False;False;True
1010014026;False;True;True
1010014026;False;True;True
1010014026;False;True;True
1010014030;False;True;True
1010014044;False;True;True
1010014044;False;True;True
1010014048;False;True;True
1010014048;False;True;True
1010014062;False;True;True
1010014062;False;True;True
1010014062;False;True;True
1010014062;False;True;True
1010014062;False;True;True
1010014062;False;True;True
1010014062;False;True;True
1010014066;False;True;True
1010014066;False;True;True
1010014076;False;True;True
1010014076;False;True;True
1010014080;False;True;True
1010014094;False;True;True
1010014098;False;True;True
1010014112;False;True;True
1010014112;False;True;True
1010014116;False;True;True
1010014116;False;True;True
1010014116;False;True;True
1010014116;False;True;True
1010014126;False;True;True
1010014126;False;True;True
1010014130;False;True;True
1010014130;False;True;True
1010014144;False;True;True
1010014144;False;True;True
1010014144;False;True;True
1010014148;False;True;True
1010014148;False;True;True
1010016005;False;True;True
1010016005;False;True;True
1010016009;False;True;True
1010020003;False;False;
1010020003 01TV;False;True;True
1010020003 STTH;False;True;True
1010020003 STTH;False;True;True
1010020005;False;False;True
1010020005;False;False;True
1010020005;False;False;True
1010020005;False;False;True
1010020005;False;False;True
1010020005;False;False;True
1010020007 02TH;False;True;True
1010020007 03TH;False;True;True
1010020007 STTV;False;True;
1010020007A01TV;False;True;True
1010020007A01TV;False;True;True
1010020007A01TV;False;True;True
1010020007A01TV;False;True;True
1010020007A01TV;False;True;True
1010020009 02TV;True;True;True
1010020009 02TV;True;True;True
1010020009 03TV;True;True;True
1010020009 03TV;True;True;True
1010020010 01;False;False;True
1010020010 01;False;False;True
1010020011 01TH;False;True;
1010020011 03TV;False;True;True
1010020011 04TV;False;True;
1010020013 02TV;False;True;
1010020013 03TV;False;True;
1010020014 01TV;False;True;True
1010020014 01TV;False;True;True
1010020014 01TV;False;True;True
1010020014 01TV;False;True;True
1010020014 02TV;False;True;True
1010020014 KL;False;False;
1010020014 STTV;False;True;True
1010020015 04TH;False;True;True
1010020015 STTH;False;True;
1010020017 01TH;False;True;True
1010020017 02TH;False;True;True
1010020017 04TV;False;True;
1010020017 ST;False;False;
1010020018 02TV;False;True;True
1010020018 02TV;False;True;True
1010020018 03TV;False;True;True
1010020018 03TV;False;True;True
1010020018 03TV;False;True;True
1010020018 03TV;False;True;True
1010020018 03TV;False;True;True
1010020018 STTV;False;True;True
1010020019 01TV;False;True;
1010020019 04TH;False;True;
1010020019 05TH;False;True;
1010020019 STTH;False;True;True
1010020019 STTH;False;True;True
1010020019 STTH;False;True;True
1010020019 STTH;False;True;True
1010020019 STTH;False;True;True
1010020019 STTH;False;True;True
1010020019 STTH;False;True;True
1010020014 04TV;False;True;True
1010020016 01;False;True;True
1010020016 02;False;True;True
1010020016 03;False;True;True
1010020016 04;False;True;True
1010020016 04;False;True;True
1010020017 STTV;False;True;
1010020018;False;False;True
1010020018;False;False;True
1010020018;False;False;True
1010020018;False;False;True
1010020018;False;False;True
1010020018;False;False;True
1010020018;False;False;True
1010020018;False;False;True
1010020018;False;False;True
1010020018;False;False;True
1010020018 01TH;False;True;True
1010020018 01TV;False;True;
1010020018 02TH;False;True;True
1010020018 02TH;False;True;True
1010020019 02TH;False;True;
1010020019 02TV;False;True;
1010020019 03TH;False;True;
1010020019 03TV;False;True;
1010004001 01TH;False;True;True
1010004001 01TH;False;True;True
1010004001 01TH;False;True;True
1010004001 01TH;False;True;True
1010004001 01TV;False;True;
1010004001 02TH;False;True;True
1010004001 02TV;False;True;
1010004003 03;False;True;True
1010004003 04;False;True;True
1010004003 05;False;True;
1010004003 KL;False;True;True
1010004003 ST;False;True;True
1010004006 04TH;False;False;True
1010004006 04TV;False;False;
1010004006 05TH;False;False;
1010004006 05TV;False;False;
1010004007 STTV;False;True;True
1010004008 01TH;False;True;
1010004008 01TV;False;True;
1010004008 02;False;True;True
1010004010 01TH;False;True;
1010004010 01TV;False;True;
1010004010 02;False;True;
1010004010 03TH;False;True;True
1010004010 03TH;False;True;True
1010004011 STTV;False;True;True
1010004011 STTV;False;True;True
1010004012 01TH;False;True;True
1010004012 01TV;False;True;
1010004012 02TH;False;True;
1010004014 02TV;False;True;
1010004014 03TH;False;True;
1010004014 03TV;False;True;
1010004014 04TH;False;True;
1010004016 02TV;False;True;
1010004016 03TH;False;True;
1010004016 03TV;False;True;
1010004016 04TH;False;True;
1010004018;False;False;True
1010004018;False;False;True
1010004018;False;False;True
1010004018;False;False;True
1010004018;False;False;True
1010004018;False;False;True
1010004018 01TH;False;True;True
1010004018 01TV;False;True;
1010004018 02TH;False;True;
1010004018 02TV;False;True;
1010004021 01TV;False;True;True
1010004021 01TV;False;True;True
1010004021 02TH;False;True;True
1010004021 02TV;False;True;
1010004021 03TH;False;True;True
